user_id,name,email_address,username,date_of_birth,gender,location,membership_start_date,membership_end_date,subscription_plan,payment_information,renewal_status,usage_frequency,purchase_history,favorite_genres,devices_used,engagement_metrics,feedbackratings,customer_support_interactions
1,Ronald Murphy,williamholland@example.com,williamholland,6/3/1953,Male,Rebeccachester,1/15/2024,1/14/2025,Annual,Mastercard,Manual,Regular,Electronics,Documentary,Smart TV,Medium,3.6,3
2,Scott Allen,scott22@example.org,scott22,7/8/1978,Male,Mcphersonview,1/7/2024,1/6/2025,Monthly,Visa,Manual,Regular,Electronics,Horror,Smartphone,Medium,3.8,7
3,Jonathan Parrish,brooke16@example.org,brooke16,12/6/1994,Female,Youngfort,4/13/2024,4/13/2025,Monthly,Mastercard,Manual,Regular,Books,Comedy,Smart TV,Low,3.3,8
4,Megan Williams,elizabeth31@example.net,elizabeth31,12/22/1964,Female,Feliciashire,1/24/2024,1/23/2025,Monthly,Amex,Auto-renew,Regular,Electronics,Documentary,Smart TV,High,3.3,7
5,Kathryn Brown,pattersonalexandra@example.org,pattersonalexandra,6/4/1961,Male,Port Deborah,2/14/2024,2/13/2025,Annual,Visa,Auto-renew,Frequent,Clothing,Drama,Smart TV,Low,4.3,1
6,Sandra Cox,gparks@example.org,gparks,9/19/1954,Female,Lake Johnathan,1/15/2024,1/14/2025,Monthly,Amex,Manual,Occasional,Books,Action,Tablet,Low,3.8,2
7,Benjamin Marshall,michaellewis@example.net,michaellewis,2/9/2003,Male,Carlsonchester,4/8/2024,4/8/2025,Monthly,Amex,Auto-renew,Frequent,Clothing,Sci-Fi,Tablet,Medium,4.4,10
8,James Smith,adrienne49@example.org,adrienne49,10/4/1946,Male,West Matthewborough,2/16/2024,2/15/2025,Monthly,Visa,Manual,Regular,Electronics,Horror,Smart TV,Medium,3.6,6
9,Bradley Green,brittany02@example.net,brittany02,12/24/1950,Female,Karenshire,4/9/2024,4/9/2025,Annual,Amex,Manual,Frequent,Electronics,Documentary,Smartphone,Medium,4,8
10,Kayla Hernandez,jessica53@example.net,jessica53,6/16/1963,Male,West Stephen,3/10/2024,3/10/2025,Monthly,Visa,Auto-renew,Frequent,Clothing,Drama,Tablet,High,4.9,6
11,Douglas Hampton,tonya16@example.com,tonya16,11/28/1997,Female,Cynthiaport,3/24/2024,3/24/2025,Monthly,Visa,Manual,Regular,Books,Documentary,Smart TV,Low,4,1
12,Andrew Gomez,brian80@example.org,brian80,9/8/1952,Female,Hillberg,3/7/2024,3/7/2025,Annual,Amex,Manual,Regular,Books,Horror,Smart TV,Low,4.4,6
